;link;Amount;ComplRate;OverSuccess;Duration;NDon;ADon;NInfo;NPers;NComment;NJumpA;NJump1;NDonLevel;BCulture;OtherProject;Facebook;NFacebook
218;https://www.kisskissbankbank.com/fr/projects/petit-b-cafe-librairie-specialisee-expo;5426;108;1;60;113;44.98979591836735;7;6;28;32;98;0;1;0;5;5
219;https://www.kisskissbankbank.com/fr/projects/vitality-le-jeu-cooperatif-sur-la-sante-et-la-vitalite;23021;115;1;60;241;105.21693121693121;12;1;53;18;189;4;0;1;5;5
220;https://www.kisskissbankbank.com/fr/projects/un-camion-pour-medecins-du-monde-en-guyane;8600;119;1;60;100;85.96103896103897;10;3;13;29;77;1;0;1;5;5
221;https://www.kisskissbankbank.com/fr/projects/les-chats-la-bd-d-un-enfant-qui-reve;4200;123;1;60;82;38.142857142857146;12;1;20;10;70;1;1;0;5;5
222;https://www.kisskissbankbank.com/fr/projects/expedition-dallol-aux-frontieres-de-la-vie;18255;130;1;60;248;65.67129629629629;11;2;49;75;216;0;1;1;5;5
223;https://www.kisskissbankbank.com/fr/projects/uneole-l-eolienne-urbaine-en-fibre-de-lin;9075;113;1;60;145;58.306451612903224;12;1;48;29;124;0;0;0;5;5
224;https://www.kisskissbankbank.com/fr/projects/babel-bouche;3770;114;1;60;53;57.17391304347826;12;1;21;10;46;0;0;0;5;5
225;https://www.kisskissbankbank.com/fr/projects/bergere-le-documentaire;8000;177;1;60;74;108.03030303030303;10;3;19;4;66;3;1;0;5;5
226;https://www.kisskissbankbank.com/fr/projects/petite-bulle-d-univers-n-10;9771;101;0;60;203;36.6878612716763;10;3;52;48;173;1;1;1;5;5
227;https://www.kisskissbankbank.com/fr/projects/vous-oui-mais-en-plein-format;6000;109;1;60;65;97.28070175438596;11;2;48;15;57;4;1;0;5;5
228;https://www.kisskissbankbank.com/fr/projects/cartes-du-corps-exposition-photo-a-arles;3031;101;0;60;51;56.27272727272727;7;6;13;14;44;0;1;0;5;5
